year,month,day,region,site,coastal.code,exposure.code,latitude,longitude,depth,sp_code,cover,type
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,agar,28.88888888888889,kelp
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,alar,2.611111111111111,kelp
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,ccrisp,0.125,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,chaet,0,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,codm,0,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,coral,0,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,desm,5.722222222222222,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,ldig,1.7222222222222225,kelp
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,palm,0,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,phyc,0.05555555555555554,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,poly,2.6166666666666663,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,porph,0.27777777777777785,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,ptilo,0.13888888888888892,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,rhod,0.05555555555555554,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,sac,1.0555555555555556,kelp
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,sder,0,understory
2004,6,10,Penobscot Bay,large.green.island,5,5,43.9053,-69.0163,5,ulva,1.3611111111111112,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,agar,1.4444444444444444,kelp
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,alar,0.27777777777777785,kelp
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,ccrisp,22.680555555555557,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,chaet,0.5277777777777778,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,codm,0,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,coral,1.2222222222222225,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,desm,0.5555555555555557,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,ldig,40.611111111111114,kelp
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,palm,1.7222222222222223,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,phyc,1.6666666666666667,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,poly,8.13888888888889,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,porph,0,understory
2004,6,10,Penobscot Bay,metinic.island.north,5,4,43.8915,-69.1198,5,ptilo,0.75,understory
